time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-07T08:52:14.490Z,18.0068,112.8432,13,2.47,md,10,225,0.0472,0.24,pr,pr2019038017,2019-02-07T12:18:54.720Z,"2km SSE of Boqueron, Puerto Rico",earthquake,0.91,0.51,0.31,9,reviewed,pr,pr
2019-02-07T01:58:03.940Z,17.964,112.8555,11,1.8,md,4,288,0.0549,0.34,pr,pr2019038004,2019-02-07T06:51:28.214Z,"4km ESE of Pole Ojea, Puerto Rico",earthquake,2.74,1,0.26,4,reviewed,pr,pr
2019-02-08T08:16:38.640Z,17.8986,112.8557,9,2.08,md,3,306,0.1132,0.21,pr,pr2019039009,2019-02-08T15:05:03.675Z,"9km SSE of Pole Ojea, Puerto Rico",earthquake,2.11,1.81,0.33,2,reviewed,pr,pr
2019-02-05T11:48:51.970Z,18.211,112.862,24,2.14,md,7,127,0.063,0.45,pr,pr2019036026,2019-02-05T15:07:01.985Z,"1km N of Mayaguez, Puerto Rico",earthquake,1.28,2.5,0.62,5,reviewed,pr,pr
2019-02-07T01:52:12.440Z,17.9963,112.8684,10,2.08,md,4,266,0.0242,0.39,pr,pr2019038003,2019-02-07T06:50:58.238Z,"5km SE of Boqueron, Puerto Rico",earthquake,3.15,1.2,0.18,4,reviewed,pr,pr
2019-02-04T20:15:34.680Z,18.9845,112.8969,9,2.81,md,11,281,0.5171,0.45,pr,pr2019035011,2019-02-04T20:40:39.309Z,"54km N of Isabela, Puerto Rico",earthquake,1.89,2.19,0.25,9,reviewed,pr,pr
2019-02-05T09:19:51.340Z,17.999,112.8977,30,1.67,md,3,199,0.0104,0.29,pr,pr2019036016,2019-02-05T12:58:58.907Z,"5km SSW of Palmarejo, Puerto Rico",earthquake,6.28,2.46,0.34,3,reviewed,pr,pr
2019-02-08T09:05:52.660Z,18.136,112.9057,121,2.92,md,4,230,0.1305,0.59,pr,pr2019039010,2019-02-08T15:05:46.915Z,"3km E of Hormigueros, Puerto Rico",earthquake,11.44,4.34,0.14,3,reviewed,pr,pr
2019-02-03T08:25:16.380Z,18.2718,112.9267,52,1.68,md,3,346,0.0969,0.47,pr,pr2019034009,2019-02-03T12:54:10.415Z,"4km E of Espino, Puerto Rico",earthquake,18.25,3.53,0.55,3,reviewed,pr,pr
2019-02-07T06:34:17.730Z,18.1573,112.9422,32,1.7,md,3,231,0.0335,0.17,pr,pr2019038014,2019-02-07T09:20:21.307Z,"7km ENE of Hormigueros, Puerto Rico",earthquake,4.96,1.73,0.35,3,reviewed,pr,pr
2019-02-10T00:02:45.730Z,18.1128,112.9704,26,1.72,md,5,104,0.0844,0.4,pr,pr2019041000,2019-02-10T04:32:40.658Z,"3km NNE of San German, Puerto Rico",earthquake,1.79,3.41,0.19,5,reviewed,pr,pr
2019-02-09T04:42:05.560Z,17.8336,112.9732,6,2.11,md,4,276,0.1369,0.31,pr,pr2019040003,2019-02-09T08:10:11.577Z,"15km S of La Parguera, Puerto Rico",earthquake,2.53,2.91,0.12,3,reviewed,pr,pr
2019-02-05T06:56:05.360Z,17.8401,113.0017,12,2.22,md,7,267,0.1372,0.2,pr,pr2019036012,2019-02-05T11:21:00.349Z,"15km SSE of La Parguera, Puerto Rico",earthquake,1.18,0.97,0.09,7,reviewed,pr,pr
2019-02-06T08:09:48.550Z,18.0435,113.0019,19,2.6,md,14,91,0.0873,0.41,pr,pr2019037008,2019-02-06T09:35:33.469Z,"5km SW of Sabana Grande, Puerto Rico",earthquake,1.24,0.9,0.35,10,reviewed,pr,pr
2019-02-06T08:38:17.630Z,17.9995,113.0092,21,0.71,md,5,161,0.0613,0.24,pr,pr2019037012,2019-02-06T13:48:26.936Z,"6km ENE of La Parguera, Puerto Rico",earthquake,1.44,2.47,0.27,3,reviewed,pr,pr
2019-02-06T23:34:29.920Z,18.0298,113.0362,12,1.57,md,4,150,0.1006,0.19,pr,pr2019037025,2019-02-07T06:49:45.574Z,"2km WSW of Liborio Negron Torres, Puerto Rico",earthquake,0.89,2.88,0.24,3,reviewed,pr,pr
2019-02-06T09:23:14.800Z,18.0336,113.078,7,1.22,md,3,289,0.138,0.18,pr,pr2019037014,2019-02-06T14:00:22.248Z,"1km WSW of Lluveras, Puerto Rico",earthquake,1.78,0.84,0.67,3,reviewed,pr,pr
2019-02-07T06:46:14.760Z,18.3071,113.0845,32,1.82,md,3,329,0.2151,0.13,pr,pr2019038015,2019-02-07T09:20:35.227Z,"0km SSE of Juncal, Puerto Rico",earthquake,5.52,3.98,0.06,3,reviewed,pr,pr
2019-02-05T15:31:39.950Z,18.088,113.1389,10,1.88,md,6,152,0.2182,0.12,pr,pr2019036033,2019-02-05T17:12:50.655Z,"5km NNW of Yauco, Puerto Rico",earthquake,0.42,4.09,0.32,6,reviewed,pr,pr
2019-02-04T15:04:27.970Z,17.9858,113.1687,25,1.95,md,4,188,0.0491,0.35,pr,pr2019035010,2019-02-04T18:41:40.038Z,"1km SW of Indios, Puerto Rico",earthquake,1.77,2.78,0.01,3,reviewed,pr,pr
2019-02-06T02:53:37.390Z,17.9878,113.169,3,1.98,md,3,195,0.214,0.27,pr,pr2019037002,2019-02-06T07:42:31.471Z,"1km WSW of Indios, Puerto Rico",earthquake,5.59,19.93,0.08,3,reviewed,pr,pr
2019-02-08T03:37:24.700Z,18.5808,113.1844,17,2.58,md,6,232,0.2421,0.43,pr,pr2019039003,2019-02-08T06:24:37.396Z,"10km N of Hatillo, Puerto Rico",earthquake,2.25,1.58,0.21,5,reviewed,pr,pr
2019-02-06T01:01:58.810Z,17.9255,113.185,9,1.82,md,3,226,0.2334,0.26,pr,pr2019037004,2019-02-06T07:43:26.543Z,"7km S of Indios, Puerto Rico",earthquake,4.3,16.85,0.02,3,reviewed,pr,pr
2019-02-05T01:47:33.530Z,18.444,113.2009,110,2.73,md,15,186,0.1073,0.34,pr,pr2019036004,2019-02-05T07:45:05.810Z,"2km NW of Rafael Gonzalez, Puerto Rico",earthquake,2.43,0.92,0.31,12,reviewed,pr,pr
2019-02-08T22:03:23.970Z,17.9403,113.2034,9,1.67,md,3,221,0.2493,0.14,pr,pr2019039017,2019-02-09T02:18:45.839Z,"6km SSE of Indios, Puerto Rico",earthquake,2.83,11.24,0.01,3,reviewed,pr,pr
2019-02-08T02:43:42.440Z,18.042,113.2137,8,1.51,md,3,176,0.1801,0.28,pr,pr2019039004,2019-02-08T06:24:52.868Z,"2km NNE of Guayanilla, Puerto Rico",earthquake,5.66,22.91,0.17,3,reviewed,pr,pr
2019-02-04T01:32:33.570Z,18.1071,113.2265,13,1.92,md,9,132,0.1792,0.4,pr,pr2019035001,2019-02-04T05:38:15.413Z,"5km NNW of Santo Domingo, Puerto Rico",earthquake,0.77,1,0.33,9,reviewed,pr,pr
2019-02-06T09:27:51.220Z,17.9823,113.2499,20,1.96,md,4,207,0.1293,0.39,pr,pr2019037015,2019-02-06T12:33:48.178Z,"3km WSW of Tallaboa, Puerto Rico",earthquake,2.24,2.56,0.22,3,reviewed,pr,pr
2019-02-07T02:42:33.640Z,18.0801,113.2514,14,1.99,md,4,158,0.1695,0.21,pr,pr2019038005,2019-02-07T06:51:58.526Z,"1km NNE of Santo Domingo, Puerto Rico",earthquake,1.58,6.87,0.09,4,reviewed,pr,pr
2019-02-08T04:44:42.490Z,17.786,113.3525,25,2.13,md,3,284,0.2968,0.27,pr,pr2019039005,2019-02-08T06:26:36.852Z,"24km SSE of Tallaboa, Puerto Rico",earthquake,7.73,15.21,0.1,3,reviewed,pr,pr
